[Real_pixel]STdevi_res_z=,1.250806,[Real]STdevi_res_z=,3.102871,
[Real_pixel]STdevi_res_z=,1.255448,[Real]STdevi_res_z=,3.067158,
[Real_pixel]STdevi_res_z=,1.253740,[Real]STdevi_res_z=,3.112809,
[Real_pixel]STdevi_res_z=,1.256978,[Real]STdevi_res_z=,3.083131,
[Real_pixel]STdevi_res_z=,1.248926,[Real]STdevi_res_z=,3.063866,
[Real_pixel]STdevi_res_z=,1.253801,[Real]STdevi_res_z=,3.105253,
[Real_pixel]STdevi_res_z=,1.251331,[Real]STdevi_res_z=,3.086869,
[Real_pixel]STdevi_res_z=,1.256219,[Real]STdevi_res_z=,3.075461,
[Real_pixel]STdevi_res_z=,1.256230,[Real]STdevi_res_z=,3.095024,
[Real_pixel]STdevi_res_z=,1.251778,[Real]STdevi_res_z=,3.073560,
[Real_pixel]STdevi_res_z=,1.251311,[Real]STdevi_res_z=,3.063836,
[Real_pixel]STdevi_res_z=,1.251020,[Real]STdevi_res_z=,3.091223,
[Real_pixel]STdevi_res_z=,1.258994,[Real]STdevi_res_z=,3.095702,
[Real_pixel]STdevi_res_z=,1.256448,[Real]STdevi_res_z=,3.088928,
[Real_pixel]STdevi_res_z=,1.255377,[Real]STdevi_res_z=,3.076436,
[Real_pixel]STdevi_res_z=,1.257993,[Real]STdevi_res_z=,3.125283,
